productID,product_name,brandID,original_price,discount,price,discount_percent,rating,review_count,quantity_sold,shopID,dateID
169547788,Điện Thoại Xiaomi Redmi Note 11 Pro 8GB/128GB - Hàng Chính Hãng,25422,7032000,0,7032000,0,0,0,0,11119,1537
169734558,Điện thoại Oppo A16 (3GB/32GB) - Hàng chính hãng,25643,3192000,0,3192000,0,0,0,0,11119,1536
169744019,Điện thoại Xiaomi Redmi Note 11 (4GB/64GB) - Xám - Hàng chính hãng,25422,4690000,0,4690000,0,0,0,1,34716,1535
169749516,Điện thoại Xiaomi Redmi Note 11 Pro (8GB/128GB) - Hàng chính hãng,25422,7032000,0,7032000,0,0,0,0,11119,1536
170338160,Điện Thoại OPPO RENO7 Z 5G (8GB/128GB) - Hàng Chính Hãng,25643,10490000,2500000,7990000,24,0,0,0,213861,1538
170338314,Điện Thoại Samsung Galaxy S21 FE 5G (6GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,18802,15000000,6249000,8751000,42,0,0,0,11119,1538
170346955,Điện Thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,18802,12900000,3551000,9349000,28,0,0,0,11119,1538
170497385,Điện thoại Samsung Galaxy A53 5G (8GB/128GB),18802,9990000,2500000,7490000,25,4.8,155,566,1,1538
170580388,Điện thoại Samsung Galaxy A13 (4GB/128GB) - Hàng chính hãng,18802,4000000,0,4000000,0,0,0,1,11119,1538
170581659,Điện thoại Samsung Galaxy A23 (4GB/128GB),18802,5690000,0,5690000,0,0,0,1,259954,1538
170775712,Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,25422,3890000,740000,3150000,19,4.8,13,38,29952,1541
171169353,Điện Thoại Samsung A53 5G 8GB/128GB - Hàng Chính Hãng,18802,8660000,863000,7797000,10,0,0,0,11119,1542
171190775,Điện thoại Smartphone Sugar A100 2GB/16GB 4G LTE - Hàng chính hãng,4960305,799000,0,799000,0,0,0,0,9141,1542
171592667,Điện thoại Xiaomi Redmi Note 11 (4GB/64GB) - Xanh Dương Đậm - Hàng chính hãng,25422,4690000,0,4690000,0,0,0,0,34716,1544
171897574,Điện thoại Xiaomi Redmi 10C (4GB/128GB),25422,4390000,1400000,2990000,32,5,17,94,1,1545
172001933,Điện Thoại Samsung A03 Core 2GB/32GB - Hàng Chính Hãng,18802,2690000,901000,1789000,33,4,3,16,179232,1545
172160182,Điện thoại Xiaomi Redmi Note 11 Pro  (8GB/128GB) - Hàng chính hãng,25422,7032000,0,7032000,0,0,0,0,11119,1545
172178476,Điện Thoại Samsung A23 4GB/128GB - Hàng Chính Hãng,18802,5690000,1391000,4299000,24,4.8,11,37,29952,1548
172303189,Điện thoại OPPO A16K (3GB/32GB) - Hàng chính hãng,25643,2969000,319000,2650000,11,0,0,1,179232,1548
172309326,Điện Thoại Samsung A13 4GB/128GB - Hàng Chính Hãng,18802,4190000,0,4190000,0,0,0,0,11119,1548
172313857,Điện Thoại Realme C11 2021 (2GB/32GB) - Hàng Chính Hãng,247549,2990000,1140000,1850000,38,0,0,1,179232,1548
172319352, Điện Thoại Realme C11 2021 (2GB/32GB) - Hàng Chính Hãng,247549,2489000,639000,1850000,26,0,0,1,179232,1548
172329599,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,25422,2199000,320000,1879000,15,0,0,24,179232,1548
172335599,Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,25422,2699000,400000,2299000,15,4.7,9,26,179232,1548
172340710,"Điện thoại TECNO Spark 8C (4GB+3GB/64GB) - Pin 5000 mAh 6.6"" HD+ 90Hz - Hàng chính hãng",162007,2990000,591000,2399000,20,4.7,25,66,179232,1548
172555765,Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,25422,3468000,0,3468000,0,0,0,0,11119,1552
